"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00415502323682047,0.00769448747559346,0.407017918923954,0.461722526187916,1.67521141848847,41,"KAT2A;DKK4;MYC;TCF7;CSNK1E;LEF1;AXIN2;NKD1;JAG2;HDAC2;SKP2"
"HALLMARK_ALLOGRAFT_REJECTION",0.00600112307086716,0.0107162911979771,0.407017918923954,-0.260824755915055,-1.34200453688379,196,"ELANE;TLR3;IL16;CD1D;CTSS;PRKCB;FLNA;CFP;IRF4;IL4R;APBB1;CD79A;STAB1;CCR2;B2M;CCL13;BCL10;NCK1;ELF4;FAS;MAP4K1;CSF1;KRT1;EGFR;HDAC9;CCL19;HCLS1;LY86;GZMA;CD96;WAS;CD40LG;CD4;CCL11;CCL5;ITGAL;IL18;CD247;LTB;CD3E;GBP2;HLA-DOB;EIF4G3;CARTPT;ACVR2A;HLA-E;IFNGR2;CD3G;IL10;CXCL13;CD8A;STAT4;CD3D;ST8SIA4;TRAT1;IFNGR1;IL2RB;CD28;ETS1;PTPRC;NCF4;FCGR2B;GALNT1;CD7;TPD52;HLA-DMB;ACHE;FASLG;CCR5;IL18RAP;CD2;TLR1;CCND3;ITK;PTPN6;FYB1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00723613277550888,0.0124760909922567,0.407017918923954,-0.265219950804802,-1.3733082217943,199,"SLC22A5;PDCD4;CA2;UGDH;SGK1;KLF4;SLC26A2;HSPB8;OPN3;PAPSS2;CXCL12;SCUBE2;ATP2B4;CA12;TST;LARGE1;CAV1;NHERF1;CCN5;PDLIM3;TJP3;FLNB;GPER1;PDZK1;EEIG1;FKBP5;PRKAR2B;OLFM1;BCL2;IMPA2;PGR;CHST8;MAPT;HMGCS2;SLC27A2;KCNK5;TPSAB1;RAPGEFL1;IL6ST;ID2;SLC16A1;ALDH3A2;CCNA1;NPY1R;AFF1;CYP26B1;NBL1;NRIP1;SCNN1A;BAG1;JAK1;SEMA3B;MAPK13;CKB;CDH1"
"HALLMARK_KRAS_SIGNALING_DN",0.00914921947602496,0.0152486991267083,0.380730400722792,-0.27501392278672,-1.41301528539564,185,"SLC25A23;SGK1;ABCB11;SELENOP;HSD11B2;KCNMB1;SYNPO;KCNE2;TCF7L1;EDN2;ASB7;AKR1B10;TENT5C;SOX10;CPEB3;CNTFR;THRB;MYOT;UGT2B17;P2RY4;INSL5;CLDN8;GDNF;MAST3;PDK2;NGB;ZBTB16;NOS1;PRKN;MTHFR;KRT1;EFHD1;RSAD2;EPHA5;TFCP2L1;CCNA1;ITGB1BP2;TCL1A;CAMK1D;ARPP21;CD40LG;NPY4R;PTPRJ;CD207;GP1BA;NUDT11;SNCB;CKM;NRIP2;SMPX;CAPN9;SIDT1;PDE6B"
"HALLMARK_ANGIOGENESIS",0.0107142837998352,0.0172811029029599,0.380730400722792,0.459900385583528,1.64614174862434,36,"MSX1;TIMP1;OLR1;SPP1;VEGFA;JAG2;STC1;COL5A2;CXCL6;VCAN;COL3A1;PF4;POSTN"
"HALLMARK_PEROXISOME",0.0112261809862613,0.0175409077910333,0.380730400722792,-0.328806271810616,-1.50009570895682,101,"RETSAT;ACOX1;RXRG;PEX11A;HSD11B2;HSD17B11;SCP2;ABCD3;EHHADH;VPS4B;CAT;UGT2B17;ECI2;ACAA1;HMGCL;EPHX2;MVP;SLC25A4;BCL10;SLC27A2;ABCB1;ABCD2;ABCC8;ECH1;CRAT;ALDH9A1"
"HALLMARK_APOPTOSIS",0.0161029594689458,0.0243984234377967,0.352487857583619,-0.275898839671364,-1.38081839624212,159,"RETSAT;PDCD4;CASP7;ADD1;SLC20A1;TNFSF10;GSN;HMOX1;PSEN1;RNASEL;BMP2;BCL2L2;GPX3;BCL2L11;TXNIP;EMP1;CAV1;CLU;BMF;FEZ1;LGALS3;NEFH;SMAD7;DCN;BCL10;IGFBP6;CDKN1A;FAS;NEDD9;CASP9;DPYD;CCNA1;TGFBR3;IL18;CASP3;CD14;PLAT;RARA;CYLD;ISG20;PPP2R5B;GSTM1;IFNGR1;PAK1;AIFM3;MADD;CFLAR;BCL2L10;CD38;CD69;BTG2"
"HALLMARK_SPERMATOGENESIS",0.0194789199373816,0.0286454704961494,0.352487857583619,0.316309876542963,1.4201993624983,116,"GAD1;EZH2;NEK2;BUB1;TNNI3;KIF2C;AURKA;RFC4;NCAPH;CDK1;CSNK2A2;GAPDHS;DBF4;TTK;CLPB;CDKN3;SLC12A2;CCNB2;PSMG1;PGK2;TOPBP1;CLVS1;TCP11;AKAP4;HSPA4L;GRM8"
"HALLMARK_MITOTIC_SPINDLE",0.0413589364844904,0.0590841949778434,0.271288554688953,0.267086916184094,1.28783298676735,199,"ANLN;TPX2;ECT2;NEK2;BUB1;KIF2C;AURKA;KIF23;CEP72;KIF4A;BIRC5;RACGAP1;PRC1;BRCA2;CDK1;PIF1;PLK1;TOP2A;TTK;CENPF;KNTC1;CKAP5;DLGAP5;NUSAP1;CCNB2;CENPE;ESPL1;TUBGCP3;FBXO5;MID1IP1;KIF11;CENPJ;TBCD;KIF15;KIF20B;CEP250;SMC4;INCENP;NDC80;FSCN1"
"HALLMARK_COAGULATION",0.05320813771518,0.0739001912710833,0.245041785430996,0.285785260471861,1.29764361279436,132,"MMP7;MMP11;KLK8;COMP;DUSP14;MMP3;MMP1;TIMP1;OLR1;PLAU;MMP10;ITGA2;FGA;MMP8;F12;C2;F2;SERPINB2;SERPINE1;SPARC;F2RL2;CTSH;CTSV;MST1;MMP14;FGG;APOC2;HPN"
