"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",4945.82500912555,0.426907698560463,0.145493796452624,2.93419863230714,0.00334410125173632,0.00529219835301144
"ENSG00000000005",40.0370467759221,0.466765019806841,0.310278209184577,1.50434354070019,0.132492933500394,0.162315626751503
"ENSG00000000419",1610.6879623604,0.816261005267057,0.114786128832396,7.11114673497627,1.15082703741585e-12,5.21835860791362e-12
"ENSG00000000457",717.641670738028,-0.121223693100217,0.0715068396693195,-1.69527409770605,0.0900234361321898,0.113705765442851
"ENSG00000000460",574.452869440223,0.739870772480776,0.0791004577938144,9.3535586659858,8.47472686092933e-21,7.6358899471816e-20
"ENSG00000000938",243.185937213156,0.072508319833443,0.195507413727685,0.370872482280581,0.710732511784981,0.744288750537993
"ENSG00000000971",934.270650345911,-1.23047613460478,0.18720176691977,-6.5729942342485,4.93133686032882e-11,1.92132448163055e-10
"ENSG00000001036",3104.87944869202,0.173224991526615,0.0690241764019173,2.50962779357123,0.012085847599187,0.0176054405830625
"ENSG00000001084",1644.57064072243,0.128707041500604,0.0760333293385662,1.69277134935771,0.0904989981917395,0.114244683779941
"ENSG00000001167",1134.5168021548,0.385746247280968,0.0703086732130202,5.48646745348528,4.10050930030694e-08,1.19003160000747e-07
"ENSG00000001460",348.884640284564,-1.19125953432442,0.0835017802903149,-14.2662770803533,3.55032493469367e-46,1.89481942191579e-44
"ENSG00000001461",1382.66526973196,-0.773621534595978,0.0767699923002083,-10.077134456009,6.97300617788764e-24,7.9542841741901e-23
"ENSG00000001497",1916.38750906781,0.956057102466198,0.0971977679902274,9.83620428981788,7.86212584015125e-23,8.3107369624035e-22
"ENSG00000001561",989.025435868611,-0.491895414638288,0.112318557784131,-4.37946697627366,1.18969948061206e-05,2.62067116938487e-05
"ENSG00000001617",1312.724595178,1.0239424735221,0.151019365119049,6.78020645044378,1.20004273409104e-11,4.95995917994543e-11
"ENSG00000001626",6012.21113512788,-0.0410073259897765,0.196480096513759,-0.208709822101013,0.834674772071354,0.856777731020533
"ENSG00000001629",1684.49428915787,0.156811111301993,0.0864863737970329,1.81313083688766,0.0698116440455652,0.0900436722489538
"ENSG00000001630",4339.44572169741,0.480318156721586,0.105518577398021,4.55197718321962,5.31441002825797e-06,1.22088503956525e-05
"ENSG00000001631",1020.52282757119,0.373283419208442,0.0926500190708521,4.02896214109768,5.60236387130976e-05,0.000113202974747557
"ENSG00000002016",284.263786492147,-0.281203196260382,0.0870896566280855,-3.22889315617874,0.00124270313342955,0.00209341824382273
"ENSG00000002079",9.77769169872516,2.37922520304064,0.252451502194617,9.42448423700201,4.32224520231495e-21,4.00018596998405e-20
"ENSG00000002330",1224.62225022063,-0.783142771908395,0.102039707497396,-7.67488256400954,1.65570266559878e-14,8.8814507964797e-14
"ENSG00000002549",3452.67173462476,-0.140426579344414,0.107894901220288,-1.3015126549651,0.193083035678025,0.229446972330909
"ENSG00000002586",5657.35066100077,-0.287391501299825,0.103561012313153,-2.77509358860646,0.00551858246555728,0.00846005079158296
"ENSG00000002587",477.371380602407,0.709380387080653,0.13399571553561,5.29405275568034,1.19634895285792e-07,3.3135584440992e-07
"ENSG00000002726",8330.15509184553,-1.9660513492749,0.16802193144506,-11.7011590830198,1.25724369970746e-31,2.42666577460939e-30
"ENSG00000002745",7.93667102618604,-0.685071467458183,0.353708296968955,-1.93682611725196,0.0527666022267428,0.069486079473922
"ENSG00000002746",42.6883327144486,1.61119824399003,0.244758625383641,6.58280475903392,4.61655211853172e-11,1.8051287093329e-10
"ENSG00000002822",900.102977231625,0.378139283452712,0.0890535898896722,4.24619921466597,2.17427327957594e-05,4.63622007525298e-05
"ENSG00000002834",13036.1692234386,-0.627806660362358,0.0742179634365055,-8.45895833425092,2.69776400828853e-17,1.83074149129159e-16
"ENSG00000002919",800.926617030154,-0.422147141600768,0.0722555510675204,-5.84241813070231,5.14484728892244e-09,1.63861783396015e-08
"ENSG00000002933",6699.56949755173,-0.0834066686650603,0.185995048475418,-0.448434887642097,0.653839368029088,0.692131261387421
"ENSG00000003056",2841.05648427473,0.218464221404742,0.0612353644655304,3.5676152712003,0.00036024491678925,0.000652264801465333
"ENSG00000003096",219.050667796634,-0.343310211465671,0.29777908471364,-1.15290236651717,0.248950460633283,0.289763173120766
"ENSG00000003137",96.4898940225744,-1.33080028740379,0.212118048061863,-6.27386636622111,3.52190818185303e-10,1.2620235276835e-09
"ENSG00000003147",2188.26958106621,0.847018919936179,0.0983881709390283,8.60895076971277,7.37323033201653e-18,5.25539441268525e-17
"ENSG00000003249",764.395044778265,2.39663810208468,0.156279460023118,15.3355924171362,4.42219854011353e-53,3.57226289971245e-51
"ENSG00000003393",662.696926502286,0.559377606363689,0.090412187754469,6.18697125085373,6.13311448158636e-10,2.15244554151018e-09
"ENSG00000003400",1296.77215721233,-0.932183721889786,0.114215084891752,-8.16165152591946,3.30474471906982e-16,2.06450311684339e-15
"ENSG00000003402",3188.98450802392,-0.400216430117358,0.0909673409253657,-4.39956171133678,1.08469729151037e-05,2.39955078700745e-05
"ENSG00000003436",629.743191086074,-0.394077631617467,0.191244139149752,-2.06059978292401,0.0393412374925457,0.0529578639650315
"ENSG00000003509",494.071453818109,0.369406831921956,0.0647497145478727,5.70514996863553,1.16240698667877e-08,3.5745189375113e-08
"ENSG00000003756",2641.60064808981,-0.0608691962479758,0.0777299180664968,-0.783085815115656,0.433576720386146,0.479203269624444
"ENSG00000003987",42.0782565867023,-0.431134086475797,0.187051952279822,-2.30488953053449,0.0211727611097593,0.0296997835813097
"ENSG00000003989",195.653528555621,-0.688367103295786,0.274087252697492,-2.51148893836201,0.0120223053634483,0.017518338779199
"ENSG00000004059",5747.73552450955,0.240144779389562,0.108001977028681,2.22352206872831,0.0261806169689837,0.0361799892184368
"ENSG00000004139",1214.99325632598,-0.619345148239283,0.0976818308472802,-6.34043345489289,2.29119621487498e-10,8.38840368910586e-10
"ENSG00000004142",4486.88284077012,0.212570632223857,0.0772359459668806,2.75222410449933,0.00591919988705728,0.00903862513442081
"ENSG00000004399",2250.20118541865,0.279832729953573,0.14457372997503,1.93557107506256,0.0529202558383828,0.0696631831170696
"ENSG00000004455",4151.56036597243,-0.0109184929349538,0.075052471062883,-0.145478127239885,0.884333383958353,0.900266079272536
"ENSG00000004468",194.59913290915,-1.02277607048062,0.234689704207454,-4.35799292489003,1.31260626075003e-05,2.87591926243625e-05
"ENSG00000004478",7122.48474349998,0.644138622764452,0.106464436038932,6.05027036943026,1.44602943558401e-09,4.88924132023218e-09
"ENSG00000004487",3763.46222946352,0.768543986333773,0.075178037918698,10.2229854304647,1.56446970111803e-24,1.88104339367062e-23
"ENSG00000004534",2186.83728350503,0.261553194890476,0.0977118100392984,2.67678180135321,0.00743330266146897,0.0111882558829876
"ENSG00000004660",469.159219444033,0.662534040390747,0.106432472038635,6.22492391373047,4.81789763657904e-10,1.70716277567767e-09
"ENSG00000004700",1242.24728852768,0.12188701581947,0.0964283912214068,1.26401585959895,0.206224334587987,0.243682426062072
"ENSG00000004766",811.781920252014,-0.0621197290296805,0.0906589149207353,-0.685202653087045,0.493216049924638,0.538209408936809
"ENSG00000004776",825.281060169138,-3.5693425417382,0.308577570978659,-11.5670835388909,6.05045253286977e-31,1.12725857098729e-29
"ENSG00000004777",268.532907367787,0.908296027563345,0.139724621140871,6.50061542587829,7.99920851872945e-11,3.05643994080512e-10
"ENSG00000004779",2410.82709314208,-0.00412459931474209,0.0948591199478373,-0.0434813154181716,0.965317858574693,0.969674815349862
"ENSG00000004799",963.890516765118,-3.35753963636302,0.199471673254859,-16.8321625901899,1.41825938890233e-63,2.11871114919309e-61
"ENSG00000004809",3.0633567257153,-0.00494973353369924,0.29543161493902,-0.0167542445811729,0.986632672302337,0.988445446687997
"ENSG00000004838",21.0977922049575,1.0616241030721,0.222524176028567,4.7708259031406,1.8347207001694e-06,4.4631364731015e-06
"ENSG00000004846",8.00885499752589,-3.12912914224774,0.458005793351264,-6.83207327870606,8.36960746269833e-12,3.50871447654586e-11
"ENSG00000004848",20.8468448746433,0.0188295525565799,0.407495237757609,0.0462080309458249,0.963144441544629,0.967996852714859
"ENSG00000004864",1378.66597982359,-0.14909027869303,0.0876856323964903,-1.70028172938167,0.0890779454291079,0.112633302259361
"ENSG00000004866",919.617607364267,0.700847149547694,0.0660039749508943,10.6182567045259,2.45095482339517e-26,3.3327280965169e-25
"ENSG00000004897",1662.94048719422,0.371785585031348,0.102275516735342,3.63513768396218,0.000277832213324226,0.000510821551709304
"ENSG00000004939",2.01736905948358,-1.20959493483487,0.462363661580288,-2.6161115921192,0.00889374857412873,0.013234836404421
"ENSG00000004948",5.5692989447567,0.637499676631937,0.361064668660467,1.76561079486683,0.0774611677298286,0.0990703504084861
"ENSG00000004961",1244.80472588784,-0.282236542933622,0.080257159111167,-3.51665254613219,0.000437025452173648,0.000782879302048572
"ENSG00000004975",967.442093289675,-0.0262025091501716,0.0793133231440576,-0.330367057027477,0.741122630135095,0.772306672001904
"ENSG00000005001",731.839867276952,4.03281444384799,0.18676323311996,21.5931924955361,2.08127508833714e-103,1.33511756451054e-100
"ENSG00000005007",5098.24355015237,-0.00604181552786069,0.0741071154952338,-0.0815281432489336,0.935021944294377,0.944432654316022
"ENSG00000005020",1606.34449689296,-0.696555722729611,0.115957392758621,-6.00699710607992,1.88990888426169e-09,6.32146601140021e-09
"ENSG00000005022",25025.7987864454,-0.329300258638927,0.124323256006356,-2.64874223228268,0.0080791927430829,0.0120942058925967
"ENSG00000005059",543.202415358345,0.478826213929897,0.137340080203035,3.48642736499084,0.000489518296981993,0.00087014836207894
"ENSG00000005073",614.172376280842,0.321975017371783,0.149835588291932,2.14885542908847,0.0316458619044266,0.0431727625230483
"ENSG00000005075",2078.6708630354,0.148100567742647,0.0950302726953006,1.55845672691593,0.119125018349626,0.147301160341914
"ENSG00000005100",956.981104600254,0.664880554725618,0.0769331419793293,8.64231640122356,5.50846290160734e-18,3.9703651088122e-17
"ENSG00000005102",67.4010169995404,-1.44355629844812,0.208130778681557,-6.9358136628931,4.03889681854507e-12,1.74368630661811e-11
"ENSG00000005108",74.0138420244283,-0.934622392062467,0.242517710949174,-3.85383149298462,0.000116283641249147,0.000225709617745898
"ENSG00000005156",1790.78256189764,0.393999841118116,0.067464115237464,5.84013945386066,5.21571448354467e-09,1.66038060760579e-08
"ENSG00000005175",941.121629223131,0.536658699547138,0.0909849391966089,5.89832453904788,3.67211172146087e-09,1.19029829663444e-08
"ENSG00000005187",835.503265070003,-0.612134136073223,0.161673971893119,-3.78622562992327,0.000152952804192924,0.000291948888096598
"ENSG00000005189",184.713361369765,0.82017995122692,0.108180492613175,7.58158824585564,3.41350141815335e-14,1.77998266490763e-13
"ENSG00000005194",1819.77561233616,0.453438061743739,0.0741012444915043,6.11916931834695,9.40644143976786e-10,3.23597411296998e-09
"ENSG00000005206",2994.01594429227,0.06135956835537,0.126764681024843,0.484043093543894,0.628355286148472,0.668507415746915
"ENSG00000005238",755.84540037447,-0.949683012391387,0.114815417945117,-8.27138923838042,1.32407003032849e-16,8.51213894915052e-16
"ENSG00000005243",183.667996577887,-0.68575135310314,0.17585182886522,-3.89959750506051,9.63527292526705e-05,0.000189030696223937
"ENSG00000005249",276.50429113417,-1.81279169282656,0.209548549014657,-8.65093889387783,5.1077447992897e-18,3.69211177316752e-17
"ENSG00000005302",937.755970160676,0.398058063418273,0.0700040835605168,5.68621204896086,1.29888101694418e-08,3.97179094778444e-08
"ENSG00000005339",3074.60351170315,-0.279387683694361,0.087339433239702,-3.19887218557493,0.00137966320842994,0.00231057391998946
"ENSG00000005379",661.681046760594,1.26191940368084,0.269556187352104,4.68147073928032,2.84824056544984e-06,6.76674977861244e-06
"ENSG00000005381",11.2652520643848,0.987182897574211,0.259773924012932,3.80016162640353,0.000144601744162362,0.000277091938266025
"ENSG00000005421",8.66008915598852,0.473026779288111,0.412427327487853,1.14693364809111,0.251409044817496,0.292416748800099
"ENSG00000005436",555.398350569507,0.343523915398179,0.10622785830902,3.23384017023914,0.00122137786944323,0.0020601463382504
"ENSG00000005448",355.987572412233,1.16650865061501,0.136070064342669,8.57285293609741,1.00952387156168e-17,7.12876818087888e-17
"ENSG00000005469",478.614615269487,-1.38908699775598,0.11530031272123,-12.0475562032037,1.99785627504025e-33,4.34586874296655e-32
"ENSG00000005471",54.0307734878308,-0.519430619632905,0.188054211096871,-2.7621323479182,0.00574251954447732,0.00878112967595794
"ENSG00000005483",2787.35640333142,-0.539638704479509,0.106813102418703,-5.05217704813166,4.36802516918034e-07,1.1394478165677e-06
"ENSG00000005486",2644.31747665856,0.24359681163053,0.11109392024032,2.19271055610945,0.028328239707618,0.038925897361268
"ENSG00000005513",120.452344863696,0.32628789522628,0.329890662974715,0.989078903549593,0.322624538461717,0.367602981238935
"ENSG00000005700",2226.67058027545,0.00633551293831682,0.112321179022564,0.0564053279483833,0.955018912625713,0.961247807822509
"ENSG00000005801",850.090948366795,0.773691271969026,0.0944579486555672,8.19085405708126,2.59378956686119e-16,1.63095174840343e-15
"ENSG00000005810",2066.24395806767,0.319064332245242,0.138783881388591,2.29900136134592,0.0215048620083133,0.0301255915673537
"ENSG00000005812",2233.44797816506,-0.562614366402768,0.101352604393836,-5.551059785465,2.83942951281162e-08,8.38022335959811e-08
"ENSG00000005844",447.332750078398,-1.17837978783037,0.191433037727989,-6.15557169136477,7.48071456059199e-10,2.60333004536036e-09
"ENSG00000005882",1584.76413697137,-1.11859583663053,0.119384778880802,-9.3696687895814,7.27604904202128e-21,6.60680600773712e-20
"ENSG00000005884",4964.29154807423,-0.593933960921505,0.143368942695096,-4.14269610807292,3.43246640033018e-05,7.12632128145717e-05
"ENSG00000005889",959.614710406935,0.008192966095647,0.12099863188619,0.0677112291926841,0.946015510225677,0.953887796108712
"ENSG00000005893",4898.41885909627,0.232522462114003,0.0952827421515594,2.44034183802295,0.0146733696955445,0.0211114808460985
"ENSG00000005961",11.4413417538022,0.125175773603327,0.217388694999413,0.575815470089946,0.564739915827757,0.607984174741547
"ENSG00000005981",18.7841783567442,2.17918492216703,0.385893834505191,5.64710997510822,1.63167460496377e-08,4.93180583665879e-08
"ENSG00000006007",4090.4000275237,-0.747248779508236,0.06879130959739,-10.8625462123283,1.73833514301156e-27,2.55028576407024e-26
"ENSG00000006015",1326.39973712494,1.07769409815918,0.153245878032117,7.03245080388602,2.02936871364876e-12,8.99997652646506e-12
"ENSG00000006016",130.563514120315,0.0649079220238706,0.1007813535508,0.644046936630526,0.519544998059697,0.563986799274041
"ENSG00000006025",970.972656670103,-0.584217942646002,0.128282972258158,-4.55413475664033,5.26016301837865e-06,1.20918699627091e-05
"ENSG00000006042",2614.86401329739,-0.733844564608969,0.116671535322978,-6.28983378488584,3.17806067888235e-10,1.14457764388281e-09
"ENSG00000006047",591.272570200095,-0.453713947950554,0.162135163632904,-2.79836858201731,0.00513614654746273,0.00791531256520753
"ENSG00000006062",655.512750997608,-0.512705846514077,0.0927213327181483,-5.52953491374618,3.2108089574616e-08,9.42106061455727e-08
"ENSG00000006071",14.1112593385229,-2.05381968547912,0.303465254091482,-6.76789074791402,1.30673366948963e-11,5.3795267058038e-11
"ENSG00000006118",1333.95836704156,2.48435387219983,0.146613638697994,16.9449029044105,2.09880340077197e-64,3.45047497787215e-62
"ENSG00000006125",9765.93596743419,0.128051186830901,0.075717394358344,1.69117265479157,0.0908038320486858,0.114576448985838
"ENSG00000006128",80.0135100617325,-0.433399649553708,0.401131096872474,-1.08044390707384,0.279944552634857,0.322836875048038
"ENSG00000006194",1224.55639446069,0.486239366920099,0.0583443952232153,8.33395161711478,7.81878874760412e-17,5.10883748085912e-16
"ENSG00000006210",905.057561019382,0.287602871220138,0.202950200542438,1.41711055446826,0.156450607217441,0.188921052143572
"ENSG00000006282",1973.7749768293,-0.373710274155168,0.122080918045549,-3.06116860962443,0.00220474900224576,0.00358626601488948
"ENSG00000006283",8.71748627462958,-0.254942389874952,0.267108913545223,-0.95445107574738,0.33985536288455,0.384983485756412
"ENSG00000006327",1785.60188216106,2.36121420883083,0.135662640411642,17.4050438769744,7.55481059648434e-68,1.52569866342334e-65
"ENSG00000006377",28.0499672514836,3.73592014068163,0.460549774136991,8.11187053056805,4.98463967106443e-16,3.06191272021299e-15
"ENSG00000006432",468.686595301387,0.131871195893877,0.11376911990313,1.15911238485593,0.246410378260986,0.287051770943826
"ENSG00000006451",3035.11477883781,0.154265014772363,0.0681084852882555,2.26498965759505,0.0235133141922938,0.0327359286401585
"ENSG00000006453",4097.30792482494,0.190639010687348,0.0962245265027313,1.98118938711469,0.0475700389493757,0.0631487682802911
"ENSG00000006459",2332.75540299318,0.222986441741239,0.129093098441374,1.72733046486219,0.0841083308662292,0.106845078536132
"ENSG00000006468",306.807551391347,0.241848332479929,0.199804413914564,1.21042537420291,0.226115710171016,0.265223059441954
"ENSG00000006530",949.970614861328,0.538805121478351,0.0829996320644113,6.49165674686624,8.48975164558766e-11,3.23417227337035e-10
"ENSG00000006534",1219.03601360945,0.29976977435542,0.140579077461917,2.13239252787548,0.0329745911482667,0.0448601432138511
"ENSG00000006555",1124.11639194809,-1.78217124006692,0.116713610781825,-15.2696093294412,1.21901184930369e-52,9.563834930892e-51
"ENSG00000006576",614.40612102502,0.286493330549978,0.113417293401413,2.52601099848154,0.0115365869481486,0.016861641288225
"ENSG00000006606",27.0990821249087,2.20444227143425,0.2821642674635,7.81262025575018,5.60111598058605e-15,3.12973715492491e-14
"ENSG00000006607",2521.79401184381,-0.177149623427419,0.0712757395086347,-2.48541263336816,0.0129401345700751,0.0187738112015333
"ENSG00000006611",4980.25118779907,-0.421644839886096,0.11300954829567,-3.73105499707808,0.000190679587824701,0.000358583284202616
"ENSG00000006625",2502.61847535145,1.0818640728766,0.103851380526174,10.4174260120108,2.06465302948564e-25,2.64476070918764e-24
"ENSG00000006634",653.87353216862,1.16812500514857,0.104551492285236,11.1727243640072,5.54534883682109e-29,9.02595186793228e-28
"ENSG00000006638",57.9856903323809,-0.361445018299593,0.143800302789047,-2.51352056490331,0.0119532808643749,0.017427850472788
"ENSG00000006652",1431.0070374585,0.458910286446684,0.107319597790425,4.27610889245831,1.90188223372995e-05,4.08521956264913e-05
"ENSG00000006659",1.82567627147123,1.62543028576267,0.730195367686323,2.22602108653875,0.0260127690296361,0.0359677846064652
"ENSG00000006695",750.950176944925,-0.504423919551416,0.0730546929415777,-6.90474354542571,5.02942027980057e-12,2.14975847757977e-11
"ENSG00000006704",2213.67962569745,2.09747087761248,0.103782995901829,20.2101592788528,7.96904123906013e-91,3.47620204236122e-88
"ENSG00000006712",1692.50611647724,-0.0989132990329201,0.0895794791350832,-1.10419596081555,0.269508141435175,0.311794206131517
"ENSG00000006715",1756.64612042495,0.066819283762382,0.0752964326063257,0.887416328363589,0.374854795690514,0.420437776262843
"ENSG00000006740",752.811981463534,-2.32146489763715,0.17014317839975,-13.6441843832428,2.18646068805378e-42,8.89704575502083e-41
"ENSG00000006744",2355.09200444225,0.194672657254234,0.0814437361957908,2.39027169365415,0.0168359129777976,0.0240263349610306
"ENSG00000006747",714.772726692625,-2.73861735707335,0.222889610781962,-12.286877559997,1.06542333004127e-34,2.53685514305895e-33
"ENSG00000006756",3426.95588021536,-0.196461933385887,0.127156342035758,-1.54504234897414,0.12233602023304,0.150952147467155
"ENSG00000006757",771.441212702554,0.0479348538063918,0.148357897005457,0.323102812684306,0.746617380200513,0.777364082828591
"ENSG00000006788",4.23193027556414,-0.060955250802306,0.308688852045522,-0.1974650214881,0.843463651312637,0.864280787387756
"ENSG00000006831",3710.92042874858,-0.367048906680671,0.0670705590087927,-5.47257861131815,4.43533902984196e-08,1.28322030155916e-07
"ENSG00000006837",31.6035250205219,0.368818177341355,0.129350367358538,2.85131140230202,0.00435393063484703,0.00678236332966648
"ENSG00000007001",1.97367648159734,0.75554972046086,0.396798931646507,1.90411228509544,0.0568955620710048,0.0744707024890975
"ENSG00000007038",90.3628586466914,1.020391384006,0.46501737948766,2.19430806033579,0.0282132703839735,0.0387793191278916
"ENSG00000007047",739.70908693114,0.121736131973743,0.0848097439803298,1.43540265847257,0.151172388886802,0.183142228284415
