gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000152583,997.4447326114739,4.5879652449837725,0.21206821336340984,9.245855264186012e-105,1.7026242468998542e-100
ENSG00000148175,11193.7231981539,1.4381158421553715,0.08513880221524159,1.5528594788349e-65,1.4297953651372342e-61
ENSG00000179094,776.6001640986127,3.158833912369946,0.20225013285433663,3.102847820424792e-56,1.904631420437418e-52
ENSG00000134686,2737.9816258697733,1.375858968341837,0.0919831788478898,9.655331033595553e-52,4.4450730245915525e-48
ENSG00000125148,3656.267400374528,2.1843704848526566,0.1480421712238957,1.6301500736251308e-50,6.003842721161357e-47
ENSG00000120129,3409.038354901434,2.919787768196944,0.2025687694719274,1.7573875947415605e-48,5.393715426194306e-45
ENSG00000189221,2341.7806756905375,3.274214453768946,0.22902004114762414,1.3095291313548768e-47,3.444996993414294e-44
ENSG00000109906,385.07132767638916,7.10785281194065,0.5002433824180533,2.245872925356409e-47,5.169718740054784e-44
ENSG00000178695,2649.822514745464,-2.4740369996153047,0.17968860226297328,2.2666960515747385e-44,4.637911976638757e-41
ENSG00000101347,12703.412825239811,3.8296084325013355,0.2804459400544571,2.1881879959787437e-43,4.029548194594856e-40
ENSG00000162614,5393.114540935523,2.008183287260319,0.15250056891636876,7.826993277096669e-41,1.3103098290703197e-37
ENSG00000196517,229.6380499193763,-2.192133779769355,0.16735425033820384,2.690743008346495e-40,4.1291693748917255e-37
ENSG00000096060,2564.384375049372,3.895049482832894,0.29847428414749694,3.7003444435216035e-40,5.241680225188486e-37
ENSG00000162616,1467.6383230197741,1.50204663666858,0.1241396953968203,6.96286868515659e-35,9.158659059797044e-32
ENSG00000116584,2250.5808910208693,-1.0024723000720355,0.08278422035700832,8.19646497085907e-35,1.0062526829224652e-31
ENSG00000166741,7432.960982333251,2.1292328409471737,0.1786563422622961,3.947602415246582e-34,4.543443654797863e-31
ENSG00000183044,498.69025450335334,1.1431950839401999,0.09766940152843649,9.146771064194135e-33,9.908105243949118e-30
ENSG00000144369,1303.2632272951082,-1.3314042667678996,0.11687599972538164,3.056828947097143e-31,3.1273058367107715e-28
ENSG00000198624,2057.2044087319314,2.852224800894974,0.25252315083453175,7.35847889845946e-31,7.1319152060595245e-28
ENSG00000164125,5596.351415239098,1.1096890190706958,0.09866425989288413,2.056237133300878e-30,1.8932803404867837e-27
ENSG00000108821,100989.91598641982,-1.2856042008489827,0.11638029282707744,1.8614614208410054e-29,1.6323243840374817e-26
ENSG00000135821,19611.251384512958,2.954889498279591,0.27099150200632355,5.219072390858689e-29,4.3686008217119436e-26
ENSG00000163884,561.1110482618218,4.50835323736144,0.41589678493061094,1.081054728550208e-28,8.655488185326991e-26
ENSG00000162692,508.164810682556,-3.5490593604875,0.32862779072178194,2.0270050842823855e-28,1.5553041094608387e-25
ENSG00000164647,1920.7108494479876,1.5324632544972274,0.14207486490531934,2.4899570673703355e-28,1.834102375824989e-25
ENSG00000077684,1570.6339268227853,1.188570672947604,0.1104646862214155,3.8992613929592485e-28,2.761726867359406e-25
ENSG00000139132,1223.4631520737137,2.2172538093487746,0.2072462746521941,5.687324645323197e-28,3.878966049763951e-25
ENSG00000114098,1010.2928288840124,1.3350905484530922,0.12656724293439925,3.5324341083655e-27,2.3232062180553816e-24
ENSG00000181467,630.8695712520055,-1.2517024470390596,0.11920635242701354,6.204626260561434e-27,3.939937675456511e-24
ENSG00000123562,5040.483344065627,1.0123595063116182,0.09653772594943513,8.474033015348909e-27,5.201643932588339e-24
ENSG00000165995,495.09568652581095,3.243286276196545,0.3112408500722555,1.0049687511528854e-26,5.969838565316253e-24
ENSG00000145777,152.37084155278123,-2.7368196988378206,0.26422614304627523,1.7941837736441426e-26,1.0324966934892776e-23
ENSG00000116285,3232.6358807927904,2.3976304090952256,0.2313104109451893,1.994173732493846e-26,1.1128093722386112e-23
ENSG00000177666,1701.2318370441103,1.0869582018391952,0.10575290183026509,7.133004161078066e-26,3.8633609301838995e-23
ENSG00000163491,160.2233397828881,-2.4267434582665435,0.23952269935526319,1.6666631623454155e-25,8.769029181311664e-23
ENSG00000183160,2987.6472792282752,-1.1491298998990607,0.11296325654388718,1.9879674657492454e-25,1.016900580049232e-22
ENSG00000103196,3082.0888846719963,2.6510785598200117,0.2634362526955351,4.213766839901964e-25,2.0972031447782342e-22
ENSG00000119138,1683.2762290521164,2.07117276548568,0.20767915648122154,1.1376464279047368e-24,5.513094465754139e-22
ENSG00000163697,2266.275313301136,1.061960919446303,0.10645045806650352,1.5569834632327775e-24,7.351756532161948e-22
